digit2,desc2,digit3,desc3,digit4,desc
73,Business Services,737,"Computer Programming, Data Processing,and other Computer Related Services",2520,    Office Furniture
73,Business Services,738,Miscellaneous Business Services,2521,    Wood Office Furniture
75,"Automotive Repair, Services, and Parking",751,"Automotive Rental and Leasing, without Drivers",2522,    Metal Office Furniture
75,"Automotive Repair, Services, and Parking",752,Automobile Parking,2530,Public Building & Related Furniture
75,"Automotive Repair, Services, and Parking",753,Automotive Repair Shops,2540,    Partitions And Fixtures
75,"Automotive Repair, Services, and Parking",754,"Automotive Services, except Repair",2541,    Wood Partitions And Fixtures
76,Miscellaneous Repair Services,762,Electrical Repair Shops,2542,    Metal Partitions And Fixtures
76,Miscellaneous Repair Services,763,"Watch, Clock, and Jewelry Repair",2590,    Miscellaneous Furniture And Fixtures
76,Miscellaneous Repair Services,764,Reupholstery and Furniture Repair,2591,    Drapery Hardware & Blinds & Shades
76,Miscellaneous Repair Services,769,Miscellaneous Repair Shops and Related Services,2599,"    Furniture And Fixtures, nec"
78,Motion Pictures,781,Motion Picture Production and Allied Services,2600,    Paper And Allied Products
78,Motion Pictures,782,Motion Picture Distribution and Allied Services,2610,Pulp Mills
78,Motion Pictures,783,Motion Picture Theaters,2620,"Paper Mills, Except Building Paper"
78,Motion Pictures,784,Video Tape Rental,2630,Paperboard Mills
81,Legal Services,811,Legal Services,2640,    Misc. Converted Paper Products
82,Educational Services,821,Elementary and Secondary Schools,2641,    Paper Coating And Glazing
